drenge,boys (en- word)
drengen,the boy
kvinder,the woman
pigerne,the girls
drengene,the boys
avisen,the newspaper
sandwich,sandwich
menu,menu (en- word)
menuen,the menu
bog,book
har,have/has
barn,child (et- word)
piger,girls (en- word)
I,you (pl.)
det,it/ that/ the
kvinderen,the women
mændene,the men
pigen,the girl
mælk,milk
læser,read/ reads/ am/is/are reading
avis,newspaper (en- word)
vi,we
ris,rice
mænd,the man
kaffe,coffee
vin,wine
is,ice cream/ ice
frokost,lunch
saft,juice
morgenmad,breakfast
frugt,fruit
ost,cheese
kage,cake
jordbær,strawberry
bøf,steak
mad,food
appelsin,orange (the fruit) (en- word)
citron,lemon
suppe,soup
tomat,tomato (en- word)
øl,beer (en- word)
svinekød,pork
kød,meat
aftensmad,dinner
te,tea
olie,oil
salt,salt
kylling,chicken
vegetar,vegetarian
måltid,meal (et- word)
æg,egg
tallerken,plate (en- word)
fisk,fish
kartoffel,potato
sukker,sugar
pasta,pasta
hej,hello/ bye
ja,yes
siger,say/says/ am/is/are saying
siger undskyld,(I/you/he/she/it/we/they) apologise/apologises
ikke,not/ do/does not
goddag,good day/hello
godnat,good night
engelsk,English
snakker,talk/talks/ am/is/are talking
måske,maybe
farvel,goodbye/bye/ farewell
nej,no
tak,thank you/thanks/ please
godmorgen,good morning
godaften,good evening
glad,happy/fond
velkommen,welcome (as in Welcome to Denmark)
undskyld,sorry/excuse me
mælken,the milk (en- word)
sandwichen,the sandwich (en- word)
saften,the juice (en- word)
morgenmaden,the breakfast (en- word)
frokosten,the lunch (en- word)
osten,the cheese (en- word)
pastaen,the pasta (en- word)
vinen,the wine (en- word)
fisken,the fish (en- word)
sukkeret,the sugar (et- word)
aviserne,the newspapers
dyrene,the animals
appelsinen,the apple (en- word)
bøgerne,the books
kattene,the cats
frugterne,the fruits
æblerne,the apples
hestene,the horses
hundene,the dogs
bjørnene,the bears
maden,the food (en- word)
øllen,the beer (en- word)
jordbæret,the strawberry (et- word)
tallerkenen,the plate (en- word)
risene,the rice
tomaten,the tomato (en- word)
skildpadderne,the turtles
bøffen,the steak (en- word)
suppen,the soup (en- word)
saltet,the salt (et- word)
vegetarene,the vegetarians
svinekødet,the pork (et- word)
olien,the oil (en- word)
citronen,the lemon (en- word)
kaffen,the coffee (en- word)
måltidet,the meal (et- word)
teen,the tea (en- word)
kødet,the meat (et- word)
børnene,the children
appelsinerne,the oranges
aftensmaden,the dinner (en- word)
bogen,the book (en- word)
kyllingen,the chicken (en- word)
barnet,the child (et- word)
ægget,the egg (et- word)
frugten,the fruit (en- word)
dyret,the animal (et- word)
hesten,the horse (en- word)
krabben,the crab (en- word)
kartoflen,the potato (en- word)
musen,the mouse (en- word)
øllene,the beers (en- word)
edderkoppen,the spider (en- word)
bjørnen,the bear (en- word)
skildpadde,turtle (en- word)
fugl,bird (en- word)
hest,horse (en- word)
kagen,the cake (en- word)
elefant,elephant (en- word)
and,duck (en- word)
kat,cat (en- word)
mus,mouse (en- word)
bjørn,bear
krabbe,crab
katten,the cat
dyr,animal (et- word)
hund,dog (en- word)
hunden,the dog
vegetaren,the vegetarian (en- word)
edderkop,spider
løve,lion (en- word)
ugle,owl (en- word)
fuglen,the bird
elefanterne,the elephants 
tellerknerne,the plates 
sandwichene,the sandwiches 
anden,the duck (en- word)
skildpadden,the turtle (en- word)
elefanten,the elephant (en- word)
mælken,the milk (en- word)
sandwichen,the sandwich (en- word)
saften,the juice (en- word)
morgenmaden,the breakfast (en- word)
frokosten,the lunch (en- word)
osten,the cheese (en- word)
pastaen,the pasta (en- word)
vinen,the wine (en- word)
fisken,the fish (en- word)
sukkeret,the sugar (et- word)
aviserne,the newspapers
dyrene,the animals
appelsinen,the apple (en- word)
bøgerne,the books
kattene,the cats
frugterne,the fruits
æblerne,the apples
hestene,the horses
hundene,the dogs
bjørnene,the bears
maden,the food (en- word)
øllen,the beer (en- word)
jordbæret,the strawberry (et- word)
tallerkenen,the plate (en- word)
risene,the rice
tomaten,the tomato (en- word)
skildpadderne,the turtles
bøffen,the steak (en- word)
suppen,the soup (en- word)
saltet,the salt (et- word)
vegetarene,the vegetarians
svinekødet,the pork (et- word)
olien,the oil (en- word)
citronen,the lemon (en- word)
kaffen,the coffee (en- word)
måltidet,the meal (et- word)
teen,the tea (en- word)
kødet,the meat (et- word)
børnene,the children
appelsinerne,the oranges
aftensmaden,the dinner (en- word)
fluglene,the birds
dyret,the animal (et- word)
kagen,the cake (en- word)
vegetaren,the vegetarian (en- word)
bogen,the book (en- word)
elefanterne,the elephants
tellerknerne,the plates
sandwichene,the sandwiches
anden,the duck (en- word)
skildpadden,the turtle (en- word)
elefanten,the elephant (en- word)
hesten,the horse (en- word)
krabben,the crab (en- word)
kartoflen,the potato (en- word)
musen,the mouse (en- word)
kyllingen,the chicken (en- word)
øllene,the beers (en- word)
edderkoppen,the spider (en- word)
bjørnen,the bear (en- word)
barnet,the child (et- word)
ægget,the egg (et- word)
frugten,the fruit (en- word)
heste,horses
appelsiner,oranges
frugter,fruit/fruits
tallerkner,plates
bjørne,bears
elefanter,elephants
skildpadder,turtles
vegetarer,vegetarians
sandwiches,sandwiches
kartofler,potatoes
hunde,dogs
katte,cats
ænder,ducks
bøger,books
aviser,newspapers
børn,children
fugle,birds
æbler,apples
mig,me
bjørnens,the bear's
en piges,a girl's
pigens,the girl's
en drengs,a boy's
drengens,the boy's
andens,the duck's
kvinders,women's
kvindernes,the women's
mænds,men's
mændenes,the men's
dig,you
fiskens,the fish's
ham,him
hende,her
dem,them
en kvindes,a woman's
kvindens,the woman's
en mands,a man's
mandens,the man's
min,my/mine (for en- words)
dets,its
vores,our/ours
jeres,your/yours (plural)
deres,theirs
sin,his/her/its
sine,his/her/its
sit,his/her/its
mine,my/mine (plural)
mit,my/mine (for et- words)
din,your/yours (for en- words)
dine,your/yours (plural)
dit,your/yours (et- words)
hans,his
hendes,her
dens,its
mig,me
jer,you (plural)
dig,you
ham,him
hende,her
dem,them
den,it/that
det,it/that
os,us
har,have/has
sko,shoe
en jakke,a jacket
jakken,the jacket
skjorten,the shirt
skjorterne,the shirts
bukser,pants/trousers
bukserne,the pants/trousers
strømpe,sock
strømper,socks
hat,hat
på,on
hattene,the hats
jakkesæt,suit
jakkesættet,the suit
tøj,clothes
tøjet,the clothes
har på,wear/wears / am/is/are wearing
frakke,coat
nederdel,skirt
nederdelen,the skirt
nederdele,skirts
kjole,dress
