idx,les,dk,en
01_Basics_1,0,drenge, = boys (en- word)
01_Basics_1,1,drengen, = the boy
01_Basics_1,10,kvinder, = the woman
01_Basics_1,11,pigerne, = the girls
01_Basics_1,12,drengene, = the boys
01_Basics_1,13,avisen, = the newspaper
01_Basics_1,14,sandwich, = sandwich
01_Basics_1,15,menu, = menu (en- word)
01_Basics_1,16,menuen, = the menu
01_Basics_1,17,bog, = book
01_Basics_1,18,har, = have/has
01_Basics_1,19,barn, = child (et- word)
01_Basics_1,2,piger, = girls (en- word)
01_Basics_1,20,I, = you (pl.)
01_Basics_1,21,det," = it/ that/ the"
01_Basics_1,22,kvinderen, = the women
01_Basics_1,23,mændene, = the men
01_Basics_1,3,pigen, = the girl
01_Basics_1,4,mælk, = milk
01_Basics_1,5,læser," = read/ reads/ am/is/are reading"
01_Basics_1,6,avis, = newspaper (en- word)
01_Basics_1,7,vi, = we
01_Basics_1,8,ris, = rice
01_Basics_1,9,mænd, = the man
02_Basics_2,0,kaffe, = coffee
02_Basics_2,1,vin, = wine
02_Basics_2,10,is," = ice cream/ ice"
02_Basics_2,11,frokost, = lunch
02_Basics_2,12,saft, = juice
02_Basics_2,13,morgenmad, = breakfast
02_Basics_2,14,frugt, = fruit
02_Basics_2,15,ost, = cheese
02_Basics_2,16,kage, = cake
02_Basics_2,17,jordbær, = strawberry
02_Basics_2,18,bøf, = steak
02_Basics_2,19,mad, = food
02_Basics_2,2,appelsin, = orange (the fruit) (en- word)
02_Basics_2,20,citron, = lemon
02_Basics_2,21,suppe, = soup
02_Basics_2,22,tomat, = tomato (en- word)
02_Basics_2,23,øl, = beer (en- word)
02_Basics_2,24,svinekød, = pork
02_Basics_2,25,kød, = meat
02_Basics_2,26,aftensmad, = dinner
02_Basics_2,27,te, = tea
02_Basics_2,28,olie, = oil
02_Basics_2,29,salt, = salt
02_Basics_2,3,kylling, = chicken
02_Basics_2,30,vegetar, = vegetarian
02_Basics_2,31,måltid, = meal (et- word)
02_Basics_2,4,æg ,= egg
02_Basics_2,5,tallerken ,= plate (en- word)
02_Basics_2,6,fisk, = fish
02_Basics_2,7,kartoffel, = potato
02_Basics_2,8,sukker ,= sugar
02_Basics_2,9,pasta, = pasta
03_Phrases,0,hej," = hello/ bye"
03_Phrases,1,ja, = yes
03_Phrases,10,siger," = say/says/ am/is/are saying"
03_Phrases,11,siger undskyld, = (I/you/he/she/it/we/they) apologise/apologises
03_Phrases,12,ikke," = not/ do/does not"
03_Phrases,13,goddag, = good day/hello
03_Phrases,14,godnat, = good night
03_Phrases,15,engelsk, = English
03_Phrases,16,snakker,"talk/talks/ am/is/are talking"
03_Phrases,17,måske, = maybe
03_Phrases,2,farvel," = goodbye/bye/ farewell"
03_Phrases,3,nej, = no
03_Phrases,4,tak," = thank you/thanks/ please"
03_Phrases,5,godmorgen, = good morning
03_Phrases,6,godaften, = good evening
03_Phrases,7,glad, = happy/fond
03_Phrases,8,velkommen," = welcome (as in ""Welcome to Denmark"")"
03_Phrases,9,undskyld, = sorry/excuse me
04_Food,0,mælken, = the milk (en- word)
04_Food,1,sandwichen, = the sandwich (en- word)
04_Food,10,saften, = the juice (en- word)
04_Food,11,morgenmaden, = the breakfast (en- word)
04_Food,12,frokosten, = the lunch (en- word)
04_Food,13,osten, = the cheese (en- word)
04_Food,14,pastaen, = the pasta (en- word)
04_Food,15,vinen, = the wine (en- word)
04_Food,16,fisken, = the fish (en- word)
04_Food,17,sukkeret, = the sugar (et- word)
04_Food,18,aviserne, = the newspapers
04_Food,19,dyrene, = the animals
04_Food,2,appelsinen, = the apple (en- word)
04_Food,20,bøgerne, = the books
04_Food,21,kattene, = the cats
04_Food,22,frugterne, = the fruits
04_Food,23,æblerne = ,the apples
04_Food,24,hestene, = the horses
04_Food,25,hundene, = the dogs
04_Food,26,bjørnene, = the bears
04_Food,27,maden, = the food (en- word)
04_Food,28,øllen, = the beer (en- word)
04_Food,29,jordbæret, = the strawberry (et- word)
04_Food,3,tallerkenen, = the plate (en- word)
04_Food,30,risene, = the rice
04_Food,31,tomaten, = the tomato (en- word)
04_Food,32,skildpadderne, = the turtles
04_Food,33,bøffen = ,the steak (en- word)
04_Food,34,suppen, = the soup (en- word)
04_Food,35,saltet, = the salt (et- word)
04_Food,36,vegetarene, = the vegetarians
04_Food,37,svinekødet = ,the pork (et- word)
04_Food,38,olien, = the oil (en- word)
04_Food,39,citronen, = the lemon (en- word)
04_Food,4,kaffen, = the coffee (en- word)
04_Food,40,måltidet, = the meal (et- word)
04_Food,41,teen, = the tea (en- word)
04_Food,42,kødet, = the meat (et- word)
04_Food,43,børnene ,= the children
04_Food,44,appelsinerne ,= the oranges
04_Food,45,aftensmaden, = the dinner (en- word)
04_Food,5,bogen, = the book (en- word)
04_Food,6,kyllingen, = the chicken (en- word)
04_Food,7,barnet, = the child (et- word)
04_Food,8,ægget, = the egg (et- word)
04_Food,9,frugten = ,the fruit (en- word)
05_Animals,1,dyret, = the animal (et- word)
05_Animals,10,hesten, = the horse (en- word)
05_Animals,11,krabben, = the crab (en- word)
05_Animals,12,kartoflen, = the potato (en- word)
05_Animals,13,musen, = the mouse (en- word)
05_Animals,14,øllene, = the beers (en- word)
05_Animals,15,edderkoppen, = the spider (en- word)
05_Animals,16,bjørnen, = the bear (en- word)
05_Animals,17,skildpadde ,= turtle (en- word)
05_Animals,18,fugl, = bird (en- word)
05_Animals,19,hest, = horse (en- word)
05_Animals,2,kagen, = the cake (en- word)
05_Animals,20,elefant, = elephant (en- word)
05_Animals,21,and, = duck (en- word)
05_Animals,22,kat, = cat (en- word)
05_Animals,23,mus, = mouse (en- word)
05_Animals,24,bjørn, = bear
05_Animals,25,krabbe, = crab
05_Animals,26,katten ,= the cat
05_Animals,27,dyr, = animal (et- word)
05_Animals,28,hund, = dog (en- word)
05_Animals,29,hunden, = the dog
05_Animals,3,vegetaren, = the vegetarian (en- word)
05_Animals,30,edderkop, = spider
05_Animals,31,løve, = lion (en- word)
05_Animals,32,ugle, = owl (en- word)
05_Animals,33,fuglen, = the bird
05_Animals,4,elefanterne, = the elephants 
05_Animals,5,tellerknerne, = the plates 
05_Animals,6,sandwichene, = the sandwiches 
05_Animals,7,anden, = the duck (en- word)
05_Animals,8,skildpadden, = the turtle (en- word)
05_Animals,9,elefanten, = the elephant (en- word)
06_Definites,0,mælken,the milk (en- word)
06_Definites,1,sandwichen,the sandwich (en- word)
06_Definites,10,saften,the juice (en- word)
06_Definites,11,morgenmaden,the breakfast (en- word)
06_Definites,12,frokosten,the lunch (en- word)
06_Definites,13,osten,the cheese (en- word)
06_Definites,14,pastaen,the pasta (en- word)
06_Definites,15,vinen,the wine (en- word)
06_Definites,16,fisken,the fish (en- word)
06_Definites,17,sukkeret,the sugar (et- word)
06_Definites,18,aviserne,the newspapers
06_Definites,19,dyrene,the animals
06_Definites,2,appelsinen,the apple (en- word)
06_Definites,20,bøgerne,the books
06_Definites,21,kattene,the cats
06_Definites,22,frugterne,the fruits
06_Definites,23,æblerne,the apples
06_Definites,24,hestene,the horses
06_Definites,25,hundene,the dogs
06_Definites,26,bjørnene,the bears
06_Definites,27,maden,the food (en- word)
06_Definites,28,øllen,the beer (en- word)
06_Definites,29,jordbæret,the strawberry (et- word)
06_Definites,3,tallerkenen,the plate (en- word)
06_Definites,30,risene,the rice
06_Definites,31,tomaten,the tomato (en- word)
06_Definites,32,skildpadderne,the turtles
06_Definites,33,bøffen,the steak (en- word)
06_Definites,34,suppen,the soup (en- word)
06_Definites,35,saltet,the salt (et- word)
06_Definites,36,vegetarene,the vegetarians
06_Definites,37,svinekødet,the pork (et- word)
06_Definites,38,olien,the oil (en- word)
06_Definites,39,citronen,the lemon (en- word)
06_Definites,4,kaffen,the coffee (en- word)
06_Definites,40,måltidet,the meal (et- word)
06_Definites,41,teen,the tea (en- word)
06_Definites,42,kødet,the meat (et- word)
06_Definites,43,børnene,the children
06_Definites,44,appelsinerne,the oranges
06_Definites,45,aftensmaden,the dinner (en- word)
06_Definites,46,fluglene,the birds
06_Definites,47,dyret,the animal (et- word)
06_Definites,48,kagen,the cake (en- word)
06_Definites,49,vegetaren,the vegetarian (en- word)
06_Definites,5,bogen,the book (en- word)
06_Definites,50,elefanterne,the elephants
06_Definites,51,tellerknerne,the plates
06_Definites,52,sandwichene,the sandwiches
06_Definites,53,anden,the duck (en- word)
06_Definites,54,skildpadden,the turtle (en- word)
